side,movie_title,emo_types,n_nrc_categories,nrc_entropy
ai,Screenplay: The Black and Blue Lamp,2,2,0.9182958340544896
human,Season for Assassins,2,4,2.0
ai,Season for Assassins,3,2,0.8112781244591328
human,Secret Agent X-9,3,4,2.0
ai,Secret Agent X-9,1,3,1.584962500721156
human,Shamus,2,6,2.584962500721156
ai,Shamus,1,0,0.0
human,Shankara,6,8,2.78845045730829
ai,Shankara,0,0,0.0
human,Shantytown,0,0,0.0
ai,Shantytown,2,7,2.807354922057604
human,Shock Corridor,1,1,-0.0
ai,Shock Corridor,3,1,-0.0
human,Shoulder Arms,3,0,0.0
ai,Shoulder Arms,6,6,2.584962500721156
human,Shu jian en chou lu,1,0,0.0
ai,Shu jian en chou lu,1,0,0.0
human,Sister Emanuelle,1,0,0.0
ai,Sister Emanuelle,1,2,1.0
human,Skies Above,2,2,1.0
ai,Skies Above,5,2,1.0
human,So Glad I Made It,5,3,1.3709505944546687
ai,So Glad I Made It,5,4,1.9182958340544891
human,Sorority Babes in the Slimeball Bowl-O-Rama,2,0,0.0
ai,Sorority Babes in the Slimeball Bowl-O-Rama,4,1,-0.0
human,Spider,3,1,-0.0
ai,Spider,3,3,1.584962500721156
human,Stan Kann: The Happiest Man in the World,5,5,2.1626441180472606
ai,Stan Kann: The Happiest Man in the World,5,4,1.9219280948873625
human,Stardom,2,3,1.584962500721156
ai,Stardom,0,0,0.0
human,Stepmom,5,4,1.9182958340544896
ai,Stepmom,2,1,-0.0
human,Stick,5,8,2.855388542207534
ai,Stick,2,4,2.0
human,Stille Nacht,1,4,2.0
ai,Stille Nacht,4,1,-0.0
human,Stone Cold,0,0,0.0
ai,Stone Cold,0,0,0.0
human,Sunshine,1,0,0.0
ai,Sunshine,1,1,-0.0
human,Swashbuckler,0,0,0.0
ai,Swashbuckler,3,6,2.584962500721156
human,Tengoku no honya - koibi,6,4,1.895461844238322
ai,Tengoku no honya - koibi,7,2,0.9182958340544896
human,Tere Naam,2,6,2.584962500721156
ai,Tere Naam,6,6,2.413088436425758
human,"Texas, Brooklyn & Heaven",1,4,2.0
ai,"Texas, Brooklyn & Heaven",3,6,2.521640636343318
human,The Arrangement,1,4,2.0
ai,The Arrangement,1,0,0.0
human,The Biggest Fan,4,6,2.5032583347756456
ai,The Biggest Fan,2,4,2.0
human,The Bitter Tea of General Yen,4,6,2.5220552088742005
ai,The Bitter Tea of General Yen,4,6,2.5032583347756456
human,The Blade Master,4,3,1.584962500721156
ai,The Blade Master,1,0,0.0
human,The Blue Max,4,4,1.9502120649147463
ai,The Blue Max,1,1,-0.0
human,The Boa Friend,1,0,0.0
ai,The Boa Friend,2,1,-0.0
human,The Boys Next Door,3,0,0.0
ai,The Boys Next Door,2,1,-0.0
human,The Cement Garden,3,5,2.25
ai,The Cement Garden,5,5,2.1280852788913944
human,The Church,2,0,0.0
ai,The Church,3,0,0.0
human,The Civil War,0,0,0.0
ai,The Civil War,1,2,1.0
