side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
human,The Church,0.25,0.0,4.4375
ai,The Church,0.0,0.4,4.354
human,The Civil War,,,
ai,The Civil War,0.0,0.0,4.95
human,The Clan of the Cave Bear,0.0,0.0,4.825
ai,The Clan of the Cave Bear,0.0,0.0,4.65
human,The Curse of the Jade Scorpion,0.0,0.0,5.82
ai,The Curse of the Jade Scorpion,0.0,0.6666666666666666,5.0633333333333335
human,The Cyclops,0.2727272727272727,0.1818181818181818,4.732727272727273
ai,The Cyclops,0.0,0.5,4.62
human,The Daytrippers,0.5,0.0,5.045
ai,The Daytrippers,0.25,0.5,4.779999999999999
human,The Dirtwater Dynasty,0.0,0.0,4.53
ai,The Dirtwater Dynasty,0.0,1.0,4.44
human,The Duchess of Buffalo,0.0,0.0,5.82
ai,The Duchess of Buffalo,0.0,0.3333333333333333,4.133333333333333
human,The Family Way,0.0,0.5,4.62
ai,The Family Way,0.1428571428571428,0.2857142857142857,4.094285714285713
human,The Ghost of Greville Lodge,0.0,0.0,5.1175
ai,The Ghost of Greville Lodge,0.125,0.375,4.32375
human,The Great Challenge,0.0,0.0,5.263333333333335
ai,The Great Challenge,0.0,0.5,4.140000000000001
human,The Great Ziegfeld,0.3333333333333333,0.0,4.66
ai,The Great Ziegfeld,0.0,1.0,5.16
human,The Hamster Cage,0.3333333333333333,0.0,3.8366666666666656
ai,The Hamster Cage,0.0,0.5,4.7825
human,The Haunting of Morella,0.0,0.5,5.52
ai,The Haunting of Morella,0.2222222222222222,0.3333333333333333,4.206666666666667
human,The Land of College Prophets,0.0,0.0,4.4350000000000005
ai,The Land of College Prophets,0.0,0.0,4.95
human,The Legend of Hell House,0.0,0.1666666666666666,4.14
ai,The Legend of Hell House,0.1428571428571428,0.2857142857142857,4.077142857142857
human,The Legend of the Lone Ranger,0.0,0.0,5.145
ai,The Legend of the Lone Ranger,0.0,0.5,4.949999999999999
human,The Lickerish Quartet,0.0,0.0,5.083333333333333
ai,The Lickerish Quartet,0.0,1.0,4.44
human,The Life: What's Your Pleasure?,0.0,0.0,4.15
